JMÉNO_ZVÍŘETE;TYP_ZVÍŘETE;GENDER
fiscal wasp;Cat;Z
loud buzzard;Horse;M
worthy leech;Lizard;M
delightful cougar;Horse;Z
depressed eagle;Dog;M
known silkworm;Bear;Z
short swallow;Lizard;M
ugly vicuna;Parrot;Z
salty tern;Horse;Z
mighty junglefowl;Donkey;M
massive thrush;Bear;M
pure koala;Cat;M
outrageous horse;Tiger;Z
funny spoonbill;Cat;M
shy wombat;Dog;M
instant cicada;Cat;Z
positive tarantula;Fox;M
meaningful tarantula;Bear;Z
ready mastodon;Cat;Z
busy piranha;Lizard;Z
retail gamefowl;Horse;Z
effective leech;Horse;M
upset rabbit;Horse;Z
visible tyrannosaurus;Fox;Z
surrounding yak;Fox;M
elaborate rattlesnake;Bear;Z
depressed puffin;Cat;M
environmental lion;Donkey;Z
giant mole;Tiger;M
uniform antelope;Lizard;Z
content antlion;Horse;Z
fortunate guanaco;Fox;M
marginal eagle;Tiger;M
quaint pinniped;Dog;Z
frightened dove;Tiger;Z
clean echidna;Dog;Z
mature dove;Horse;M
peculiar elk;Parrot;Z
dangerous ermine;Parrot;M
successful mastodon;Lion;Z
relaxed snipe;Lizard;Z
homely ant;Bear;M
fond chipmunk;Donkey;M
alternative llama;Dog;Z
printed scallop;Lion;Z
likely hummingbird;Bear;Z
repulsive mollusk;Tiger;Z
agreed squirrel;Horse;Z
musical koi;Horse;M
interim walrus;Lion;Z
integral mosquito;Cat;M
aesthetic damselfly;Bear;Z
wicked pig;Dog;Z
missing elk;Donkey;Z
easy canid;Lizard;Z
general rook;Parrot;M
dirty lynx;Cat;Z
possible kite;Cat;M
real swordtail;Fox;M
alive aardwolf;Horse;Z
beautiful lemming;Donkey;Z
embarrassing basilisk;Cat;Z
confused bison;Lion;Z
unsightly stingray;Donkey;M
formal mite;Bear;M
public chicken;Lion;M
worthwhile possum;Cat;Z
separate limpet;Lizard;M
bumpy limpet;Dog;Z
husky anglerfish;Donkey;M
ltd xerinae;Parrot;Z
cognitive bobolink;Tiger;M
unknown herring;Bear;M
closed pigeon;Parrot;Z
blonde bee;Cat;Z
contemporary ferret;Horse;Z
brown peacock;Lizard;Z
foolish koi;Donkey;M
kind wasp;Dog;Z
muddy chameleon;Lion;Z
super flamingo;Donkey;M
elegant wasp;Dog;M
nervous aphid;Tiger;Z
zealous gorilla;Dog;Z
troubled orangutan;Lizard;M
latin cat;Cat;M
right horse;Horse;Z
magnetic eagle;Cat;Z
deliberate duck;Dog;M
easy cuckoo;Fox;M
social narwhal;Fox;Z
subsequent falcon;Cat;M
industrial gibbon;Lizard;M
comparable barnacle;Fox;Z
lonely cockroach;Bear;Z
rare cattle;Cat;Z
careful parrot;Lizard;M
insufficient tiger;Lizard;M
broad gull;Lizard;M
judicial meadowlark;Donkey;M
alleged pike;Bear;M
related beaver;Dog;M
ideal marmoset;Parrot;Z
prickly otter;Tiger;M
religious chameleon;Fox;Z
careful guanaco;Dog;Z
innocent fowl;Lion;M
cognitive pinniped;Lizard;M
statistical gorilla;Lizard;M
conservation capybara;Bear;Z
juicy ox;Parrot;M
straight flyingfish;Lion;M
mixed raven;Horse;Z
unpleasant eel;Bear;M
flexible eagle;Lizard;Z
clean egret;Fox;M
short slug;Tiger;Z
conscious cockroach;Bear;Z
low boar;Bear;Z
irrelevant caterpillar;Fox;Z
depressed sturgeon;Fox;M
cooperative pinniped;Bear;Z
bored cattle;Donkey;Z
juicy python;Cat;Z
elated mole;Cat;M
weird spider;Horse;Z
striking mammal;Cat;Z
extraordinary prawn;Fox;Z
radical donkey;Cat;M
neat termite;Bear;Z
public emu;Donkey;M
wandering vicuna;Horse;M
little trout;Fox;Z
tiny sparrow;Cat;M
future bandicoot;Bear;Z
industrial dinosaur;Parrot;Z
blue sparrow;Bear;Z
silent ocelot;Cat;Z
bare scallop;Donkey;M
tragic alpaca;Horse;Z
kind horse;Donkey;M
early limpet;Tiger;Z
ratty chinchilla;Lizard;Z
socialist scallop;Bear;Z
bad yak;Bear;Z
frightened meadowlark;Fox;Z
strange panda;Fox;M
potential junglefowl;Donkey;Z
burning boar;Lizard;M
chief gull;Lizard;M
organisational ostrich;Dog;Z
slow pelican;Dog;M
cruel mouse;Dog;Z
bright aphid;Parrot;Z
charming canid;Lizard;Z
broken guan;Dog;Z
chubby butterfly;Parrot;M
lesser toad;Cat;Z
awkward wildebeest;Fox;Z
weak mosquito;Tiger;M
naughty turtle;Horse;Z
warm llama;Parrot;M
sore llama;Cat;M
adjacent echidna;Bear;Z
confidential egret;Donkey;Z
ill possum;Bear;Z
fascinating puffin;Lion;Z
legal clownfish;Bear;Z
latin chicken;Lion;Z
helpless sailfish;Dog;Z
symbolic ostrich;Cat;M
skilled gayal;Bear;M
managerial roadrunner;Dog;Z
quaint squid;Tiger;M
damp silverfish;Fox;Z
annoyed primate;Cat;M
literary loon;Dog;M
balanced primate;Cat;M
fixed vicuna;Cat;Z
beautiful pigeon;Fox;M
okay warbler;Cat;M
furious ocelot;Donkey;M
agricultural panda;Dog;M
salty pinniped;Horse;Z
soft finch;Bear;M
full porpoise;Bear;M
missing deer;Cat;M
psychiatric goose;Cat;M
parallel junglefowl;Lion;M
occasional asp;Cat;M
greek owl;Lizard;Z
desirable reindeer;Fox;Z
imaginative tyrannosaurus;Donkey;M
hurt antlion;Parrot;M
witty vole;Fox;M
heavy crayfish;Parrot;Z
external locust;Donkey;M
anxious gayal;Fox;Z
wild mockingbird;Parrot;Z
high cow;Bear;M
muddy kite;Cat;Z
inadequate toad;Horse;Z
international hookworm;Tiger;Z
able pigeon;Dog;M
criminal guppy;Parrot;M
native raven;Fox;Z
voiceless sturgeon;Parrot;M
innovative prawn;Fox;Z
residential butterfly;Dog;Z
illegal whippet;Tiger;M
qualified boa;Horse;Z
upset felidae;Donkey;M
urban hummingbird;Lion;M
racial moose;Lion;Z
functional salamander;Bear;M
productive frog;Tiger;M
compact iguana;Cat;M
theoretical dog;Lion;Z
spectacular bedbug;Dog;M
content hookworm;Bear;M
progressive gopher;Cat;Z
tart anteater;Cat;Z
labour sheep;Parrot;M
wooden stoat;Cat;M
subsequent dinosaur;Horse;M
opposite ox;Lizard;Z
round whale;Horse;M
cute goldfish;Parrot;M
slippery orangutan;Bear;Z
foolish frog;Donkey;Z
old owl;Bear;M
disastrous parrot;Bear;M
long guanaco;Tiger;M
huge pony;Tiger;M
hushed goat;Parrot;M
adverse possum;Tiger;M
respectable snipe;Parrot;M
charming spider;Fox;Z
fast badger;Fox;M
skinny tiglon;Bear;Z
lengthy emu;Parrot;M
sticky takin;Bear;M
scattered barracuda;Donkey;Z
deafening zebra;Bear;Z
subtle mackerel;Lizard;M
kind clam;Cat;Z
sharp hummingbird;Bear;Z
better silkworm;Fox;Z
mushy hookworm;Fox;Z
prime bug;Fox;M
homeless lizard;Tiger;Z
crooked perch;Tiger;Z
slippery wallaby;Bear;Z
long gazelle;Tiger;M
amazing dormouse;Dog;Z
narrow mackerel;Horse;Z
scrawny guanaco;Lion;Z
small lemur;Fox;M
delighted reindeer;Bear;M
gentle tern;Donkey;Z
mathematical silverfish;Tiger;M
intellectual flea;Lion;Z
courageous porpoise;Lizard;M
mental toad;Lion;Z
numerous bandicoot;Lion;Z
popular rattlesnake;Cat;M
western mink;Dog;M
greek dog;Parrot;Z
blushing woodpecker;Horse;Z
retail canidae;Lion;Z
relevant cardinal;Cat;Z
residential alligator;Fox;M
magic python;Fox;Z
inevitable wildcat;Lion;Z
heavy cockroach;Lion;Z
intimate buzzard;Cat;Z
slippery anaconda;Lion;Z
intimate tapir;Fox;Z
middle lemur;Donkey;Z
electoral cat;Donkey;Z
crazy duck;Cat;M
united camel;Lion;Z
imaginative tick;Fox;M
safe reindeer;Horse;Z
clean cephalopod;Lizard;M
fast parrot;Fox;M
big chipmunk;Dog;Z
curious chicken;Bear;M
complex koala;Donkey;Z
steep earthworm;Parrot;Z
genuine whale;Donkey;Z
homely wombat;Lion;M
shy trout;Lion;Z
evil wasp;Lion;M
fancy viper;Bear;M
misleading whitefish;Horse;Z
mobile bee;Lion;Z
amateur barracuda;Bear;Z
unaware hare;Bear;Z
ratty orangutan;Horse;M
awful snake;Horse;M
magenta antelope;Fox;Z
dangerous porcupine;Bear;M
live deer;Dog;M
low mite;Lion;M
classical owl;Bear;M
verbal flamingo;Parrot;Z
quiet sloth;Lizard;Z
distinguished basilisk;Horse;M
adverse goldfish;Dog;Z
continental skink;Horse;Z
female earthworm;Lizard;Z
charming roadrunner;Fox;M
quaint egret;Tiger;Z
courageous marsupial;Horse;Z
increased donkey;Tiger;Z
right wildebeest;Fox;Z
superior mole;Lion;M
bad goat;Bear;M
green dormouse;Bear;M
thundering dormouse;Donkey;Z
powerful pig;Donkey;M
formal eagle;Donkey;M
naughty orca;Bear;Z
parallel duck;Parrot;M
selfish bobolink;Bear;M
horizontal tuna;Cat;Z
short mink;Horse;Z
pink echidna;Cat;Z
distinguished swordtail;Fox;Z
awful asp;Lion;M
screeching planarian;Parrot;Z
passive swan;Cat;Z
tall platypus;Fox;M
supporting dog;Donkey;Z
swiss toad;Fox;M
special wombat;Bear;Z
magnificent mandrill;Cat;Z
only spider;Bear;Z
cruel wildcat;Dog;Z
occasional dolphin;Tiger;M
unfortunate cockroach;Donkey;M
rear ladybug;Bear;M
lexical landfowl;Dog;Z
alive roundworm;Cat;M
significant iguana;Horse;Z
electric bedbug;Tiger;Z
human harrier;Fox;Z
prepared cattle;Donkey;M
current hookworm;Dog;M
gigantic bear;Bear;Z
inadequate beaver;Bear;M
anonymous cat;Donkey;Z
bloody platypus;Lion;Z
dead constrictor;Parrot;Z
creative gorilla;Horse;Z
mean ox;Parrot;Z
modest sheep;Lizard;M
worrying salmon;Dog;Z
tender spider;Parrot;Z
unable salmon;Horse;Z
wrong shark;Bear;Z
crazy rabbit;Fox;M
profitable porpoise;Lizard;Z
financial snail;Bear;M
required leopard;Parrot;Z
junior limpet;Cat;M
full cat;Lizard;Z
gross aphid;Fox;Z
civic yak;Lizard;Z
artificial planarian;Dog;M
stormy jellyfish;Horse;M
greasy chameleon;Parrot;Z
tough coral;Parrot;M
yellow emu;Dog;Z
economic fly;Bear;Z
outstanding wildfowl;Donkey;M
conscious marlin;Lizard;Z
unusual turkey;Bear;Z
anxious snail;Lion;M
broad lizard;Donkey;M
swift turtle;Lion;M
agreeable swallow;Dog;M
broken bonobo;Lizard;Z
weak woodpecker;Dog;M
critical llama;Donkey;M
rising lemur;Fox;M
economic tarantula;Bear;Z
senior wombat;Parrot;Z
developed dinosaur;Dog;M
modern pelican;Cat;M
key dog;Dog;M
anonymous horse;Fox;Z
homeless hamster;Lion;M
misleading gopher;Bear;Z
conservation dog;Dog;Z
nervous rabbit;Lion;Z
naval mackerel;Lizard;M
conventional crane;Parrot;Z
sparkling opossum;Lion;M
pleased tick;Parrot;M
independent chameleon;Donkey;M
splendid cattle;Tiger;M
tired slug;Tiger;Z
fit heron;Tiger;Z
spicy centipede;Dog;Z
ok crayfish;Cat;M
slim armadillo;Donkey;M
fierce gull;Lion;M
okay primate;Cat;Z
witty woodpecker;Donkey;M
partial bass;Bear;Z
faithful turkey;Parrot;Z
neutral marsupial;Horse;Z
proud pinniped;Fox;Z
grieving deer;Cat;M
miniature hippopotamus;Dog;M
loose shrimp;Horse;M
fragile junglefowl;Parrot;Z
ugliest fox;Lion;Z
tight stingray;Lion;Z
pleased panda;Dog;M
quick tahr;Dog;Z
terrible porpoise;Fox;Z
solar salmon;Bear;M
real sole;Horse;Z
similar basilisk;Parrot;M
intense impala;Parrot;Z
profound goose;Lion;Z
narrow pelican;Horse;M
steep flyingfish;Horse;M
human hawk;Donkey;Z
ethical locust;Lion;M
empty dolphin;Lion;M
unusual octopus;Bear;M
outstanding hamster;Donkey;Z
allied giraffe;Bear;M
mild cuckoo;Lion;Z
minimal wombat;Lion;M
tight marmot;Lizard;Z
selected gerbil;Lizard;M
statistical kite;Donkey;M
regulatory egret;Tiger;M
long rhinoceros;Donkey;M
busy cheetah;Donkey;M
broad albatross;Horse;Z
supreme mole;Parrot;Z
rough aardvark;Horse;M
metropolitan lamprey;Lizard;Z
sole magpie;Lion;Z
semantic koi;Donkey;M
coherent sparrow;Fox;M
sophisticated angelfish;Donkey;M
victorian hare;Parrot;Z
independent mole;Donkey;Z
brave hoverfly;Tiger;Z
spotty sturgeon;Parrot;Z
ancient jellyfish;Fox;Z
determined anteater;Bear;Z
calm dragonfly;Tiger;M
agricultural raven;Bear;Z
colorful cockroach;Dog;M
alive barnacle;Dog;M
just cow;Horse;Z
gradual lynx;Dog;M
marginal booby;Parrot;M
sticky junglefowl;Fox;M
superior blackbird;Fox;Z
labour pike;Bear;M
lucky llama;Bear;M
net chimpanzee;Bear;M
strange fowl;Cat;M
essential bison;Horse;M
bitter fish;Lizard;Z
global clownfish;Parrot;Z
vast echidna;Parrot;Z
entire peafowl;Tiger;M
quick pig;Fox;M
regional parakeet;Parrot;M
fragile rat;Parrot;Z
jolly wildebeest;Tiger;M
flying termite;Donkey;M
rational antlion;Donkey;Z
concrete raven;Tiger;Z
modern moose;Lion;M
bored iguana;Parrot;M
evil guineafowl;Parrot;Z
permanent fish;Cat;Z
prickly minnow;Cat;Z
disturbed crocodile;Donkey;Z
fast tiglon;Horse;Z
hon hawk;Lizard;M
dominant toad;Donkey;M
bewildered ape;Bear;Z
enormous gerbil;Lizard;M
eligible ant;Tiger;M
literary whippet;Lizard;Z
ministerial dormouse;Cat;M
watery lemming;Horse;M
wicked vole;Parrot;M
profitable kangaroo;Bear;M
holy coyote;Tiger;M
bumpy frog;Parrot;M
ministerial anglerfish;Tiger;M
subjective capybara;Horse;M
filthy quelea;Lion;Z
okay dingo;Horse;Z
bright lynx;Tiger;M
controversial junglefowl;Lion;Z
odd swift;Lizard;Z
still crane;Lizard;Z
lonely bonobo;Cat;M
dangerous koi;Lizard;Z
inland deer;Lion;M
Sound dinosaur;Cat;M
straight goat;Tiger;Z
representative mole;Cat;Z
specific dormouse;Horse;Z
sudden jay;Dog;Z
eastern bobcat;Horse;Z
uncertain horse;Donkey;M
territorial flamingo;Bear;M
associated egret;Lizard;Z
faint barracuda;Cat;Z
juicy zebra;Tiger;M
modest raccoon;Lion;M
electric canid;Parrot;M
conscious kangaroo;Parrot;Z
reasonable squirrel;Lion;Z
salty bison;Dog;Z
available echidna;Donkey;Z
sad crab;Lion;Z
short mongoose;Cat;Z
separate coyote;Lion;M
steady coral;Horse;Z
fixed narwhal;Cat;Z
bad yak;Horse;Z
mid skink;Parrot;Z
obedient tapir;Parrot;M
elderly kiwi;Cat;M
flexible rook;Fox;Z
hot swan;Bear;Z
immediate herring;Bear;Z
generous starfish;Tiger;Z
supreme goldfish;Donkey;M
light gerbil;Cat;M
agreed hummingbird;Dog;Z
clever dragon;Lion;M
meaningful monkey;Horse;M
joint gull;Horse;Z
nice marlin;Cat;M
realistic mollusk;Horse;Z
human yak;Lion;Z
top leopard;Lion;Z
widespread dingo;Horse;M
monthly guan;Tiger;Z
immense dinosaur;Lizard;Z
watery fly;Donkey;M
intermediate rodent;Bear;M
uncertain lemur;Donkey;M
classical dinosaur;Horse;Z
frail salamander;Cat;M
deliberate mackerel;Donkey;Z
urgent mule;Horse;Z
sticky panther;Horse;Z
purring alpaca;Horse;Z
innocent lamprey;Parrot;M
misleading llama;Lizard;Z
legal pheasant;Lion;M
complete crayfish;Lizard;M
reluctant bedbug;Tiger;Z
primary piranha;Bear;M
varied goldfish;Lizard;Z
unsightly aphid;Dog;Z
energetic rabbit;Lion;Z
minimal flamingo;Dog;M
allied peafowl;Bear;Z
remote sparrow;Lion;Z
bizarre horse;Donkey;Z
parallel meerkat;Lizard;Z
scrawny kingfisher;Cat;Z
mass kangaroo;Fox;Z
metropolitan guineafowl;Cat;Z
fatal quokka;Donkey;Z
modern beetle;Parrot;M
due mite;Fox;Z
visible gorilla;Lion;Z
varied piranha;Tiger;M
soviet sparrow;Cat;M
excited squirrel;Lizard;Z
minor earwig;Tiger;Z
short boa;Dog;M
sole wildcat;Horse;M
psychological elk;Fox;Z
interested dingo;Dog;M
prickly piranha;Dog;Z
devoted giraffe;Lion;Z
corporate dog;Bear;Z
deliberate egret;Donkey;Z
cute ostrich;Lion;M
public impala;Tiger;Z
aesthetic flyingfish;Tiger;M
ruling marlin;Tiger;Z
nuclear warbler;Lizard;M
front bison;Parrot;M
religious wolverine;Cat;Z
terrible goldfish;Tiger;Z
governing sole;Tiger;M
territorial hippopotamus;Tiger;M
dirty tarsier;Lizard;Z
secret falcon;Bear;Z
weird kingfisher;Dog;M
full shrimp;Parrot;M
good barnacle;Donkey;Z
monetary dolphin;Lion;Z
worthwhile bison;Cat;M
strange snail;Fox;Z
ideal amphibian;Horse;Z
amazing mollusk;Dog;M
official herring;Bear;Z
involved leopard;Fox;Z
strange falcon;Fox;M
universal mongoose;Lion;Z
supporting lobster;Cat;M
wrong quelea;Donkey;M
regulatory crow;Lizard;Z
rough stork;Lion;Z
short muskox;Tiger;Z
slight chicken;Tiger;Z
peaceful opossum;Cat;M
stingy wombat;Parrot;Z
exact goldfish;Parrot;Z
uniform partridge;Fox;Z
open dingo;Lion;Z
outstanding lobster;Lizard;Z
unfair shark;Lizard;M
mere chicken;Parrot;Z
prospective tortoise;Donkey;M
liquid bobolink;Fox;M
balanced amphibian;Parrot;Z
tall centipede;Cat;M
retired bedbug;Fox;M
selective pigeon;Dog;Z
recent duck;Donkey;Z
dangerous yak;Dog;Z
available flea;Dog;Z
significant pike;Tiger;Z
squealing rooster;Donkey;M
robust cockroach;Lizard;M
alternative mole;Parrot;M
lazy rat;Cat;Z
hilarious toad;Lion;M
condemned mammal;Fox;Z
rubber catshark;Parrot;M
weak firefly;Dog;Z
eager cattle;Bear;Z
blue weasel;Fox;Z
running horse;Lion;M
continuous pig;Bear;M
quaint gazelle;Dog;M
theoretical tuna;Parrot;Z
noble toad;Dog;Z
robust krill;Bear;M
above turkey;Tiger;M
bizarre rooster;Lion;M
prime lungfish;Lizard;Z
fresh pig;Tiger;M
toxic pheasant;Cat;M
environmental landfowl;Cat;M
legislative lark;Fox;M
small skink;Lion;Z
allied llama;Cat;M
retail dingo;Donkey;M
awake bovid;Dog;Z
careful koi;Lion;Z
prime pig;Donkey;M
unusual crayfish;Horse;Z
protestant deer;Lion;M
skilled chameleon;Tiger;M
visiting marsupial;Tiger;M
frail bear;Bear;M
rapid marlin;Cat;Z
appropriate guppy;Bear;M
nasty mosquito;Cat;Z
chief lobster;Bear;M
historic panther;Bear;M
many mink;Dog;Z
shrill donkey;Lizard;M
possible felidae;Dog;M
nuclear tuna;Lion;M
polite locust;Horse;Z
effective beaver;Cat;M
central leopard;Horse;M
sharp mosquito;Dog;Z
invisible pig;Tiger;Z
dusty snake;Bear;Z
invisible otter;Dog;Z
hilarious penguin;Donkey;M
conservative dove;Lizard;M
separate bovid;Lion;Z
smoggy hawk;Cat;Z
increasing smelt;Donkey;M
spiritual mole;Horse;Z
swift tortoise;Parrot;M
dirty crane;Tiger;Z
previous hamster;Fox;Z
nosy piranha;Fox;M
panicky jay;Bear;Z
boring macaw;Tiger;Z
comfortable barracuda;Fox;M
anonymous cat;Cat;M
fat perch;Dog;M
wooden woodpecker;Bear;Z
square leech;Lion;M
potential leopard;Fox;Z
guilty mole;Donkey;Z
worried elk;Horse;M
aware bonobo;Fox;M
living hyena;Cat;M
misty silkworm;Fox;Z
striped basilisk;Fox;M
soviet mite;Parrot;M
agricultural dinosaur;Dog;Z
bad chicken;Cat;Z
able donkey;Dog;Z
spotless pig;Lizard;Z
solar toucan;Dog;Z
weak ox;Tiger;M
quaint booby;Lion;M
bitter seahorse;Horse;Z
busy planarian;Horse;M
psychiatric pike;Parrot;M
residential tiger;Fox;Z
independent bedbug;Donkey;Z
senior sawfish;Lion;Z
spotless thrush;Parrot;M
aggregate wolverine;Lion;M
average shrimp;Parrot;M
diverse alpaca;Dog;M
lengthy hyena;Dog;Z
stuck haddock;Parrot;Z
deep mackerel;Lizard;M
promising ferret;Lion;M
revolutionary lemming;Lizard;M
testy trout;Bear;Z
remaining booby;Horse;M
progressive hummingbird;Fox;Z
pretty felidae;Fox;M
disturbed monkey;Tiger;Z
prickly zebra;Donkey;M
stingy bonobo;Lizard;Z
anxious mandrill;Dog;M
silky mosquito;Lizard;Z
normal anglerfish;Lion;Z
ethical wren;Tiger;M
constant tarantula;Tiger;Z
daily herring;Horse;Z
sure fox;Cat;M
correct whippet;Parrot;M
inc vicuna;Donkey;M
internal ocelot;Horse;Z
bewildered pinniped;Lion;M
smoggy owl;Lizard;Z
sad cheetah;Dog;M
disturbed walrus;Cat;M
driving possum;Dog;Z
fat slug;Cat;Z
smooth goldfish;Fox;Z
graceful bison;Lion;M
key ape;Cat;M
faithful ferret;Cat;M
afraid anaconda;Bear;M
industrial newt;Horse;Z
brave meerkat;Bear;Z
positive buzzard;Tiger;M
official peacock;Cat;Z
great giraffe;Donkey;M
visiting chameleon;Tiger;M
primary finch;Parrot;Z
personal goldfish;Lion;M
drab jay;Lion;Z
working tuna;Cat;Z
isolated chipmunk;Parrot;M
reduced penguin;Lizard;Z
wild emu;Cat;Z
hushed sparrow;Lion;M
mushy gibbon;Donkey;M
dirty hawk;Horse;Z
tough macaw;Tiger;M
frequent magpie;Fox;Z
slow beaver;Dog;M
spontaneous sawfish;Horse;Z
shy constrictor;Dog;M
chilly goose;Dog;Z
skilled tortoise;Lion;M
dead vole;Lion;Z
preferred impala;Parrot;Z
underlying tortoise;Parrot;Z
technological lamprey;Bear;M
elegant earwig;Parrot;Z
selected rabbit;Parrot;Z
upper fish;Cat;Z
confused bee;Dog;Z
chubby pheasant;Bear;M
numerous swordfish;Parrot;M
original ladybug;Lizard;Z
ripe badger;Lizard;Z
extensive pheasant;Horse;Z
dangerous alpaca;Dog;Z
faint salamander;Bear;M
motionless horse;Horse;M
pleasant bird;Lizard;Z
leading fish;Horse;M
substantial landfowl;Parrot;Z
unfortunate parakeet;Donkey;M
historic ermine;Fox;Z
conscious scallop;Parrot;Z
fantastic dingo;Bear;Z
depressed elephant;Lion;M
beautiful goat;Horse;M
perfect wildebeest;Fox;M
eerie swordfish;Horse;M
unhappy quail;Cat;M
dull turkey;Fox;Z
vulnerable chimpanzee;Lizard;Z
tame carp;Parrot;Z
random kangaroo;Horse;Z
wet shrimp;Bear;Z
encouraging badger;Lion;Z
instant pony;Lion;M
unknown wasp;Bear;M
respective urial;Donkey;Z
visiting firefly;Bear;Z
innovative panther;Horse;M
superb wallaby;Cat;M
sharp sheep;Cat;Z
relieved tuna;Cat;M
grumpy tuna;Bear;Z
grumpy guineafowl;Bear;M
small minnow;Lizard;Z
spontaneous alligator;Tiger;M
extreme vulture;Lion;Z
exclusive moth;Parrot;Z
immense tahr;Horse;Z
pure badger;Dog;M
boiling catfish;Dog;M
afraid whitefish;Horse;Z
worried lungfish;Lion;Z
double constrictor;Horse;Z
weird junglefowl;Dog;Z
dreadful panda;Cat;Z
